keys,zh,en,cht,yue,wyw,jp,kor,spa,fra,th,ara,ru,pt,de,it,el,nl,pl,bul,est,dan,fin,cs,rom,slo,swe,hu,vie
SKILL_FAST_LOW_DAMAGE_CHAIN_LIGHTNING_DESC,攻击有概率触发连锁反应,Attack has a chance to trigger a chain reaction,攻擊有概率觸發連鎖反應,攻击有或然率触发连锁反应,攻有概发累应。,攻撃は確率的に連鎖反応を起こす,공격은 연쇄 반응을 일으킬 확률이 있다,El ataque tiene la probabilidad de desencadenar una reacción en cadena,Une attaque a la probabilité de déclencher une réaction en chaîne,การโจมตีมีโอกาสเกิดปฏิกิริยาลูกโซ่,احتمال اثار سلسلة من ردود الفعل,Атака может вызвать цепную реакцию.,O ataque tem probabilidade de desencadear uma reação em cadeia,Ein Angriff kann eine Kettenreaktion auslösen,Attacco con probabilità di scatenare una reazione a catena,Η επίθεση έχει πιθανότητα να προκαλέσει αλυσίδωτη αντίδραση,Aanvallen kunnen kettingreacties veroorzaken,Atak może wywołać reakcję łańcuchową,Атаката има вероятност да предизвика верижна реакция.,Rünnaku tõenäosus käivitab ahelreaktsiooni,Angrebet kan udløse en kædereaktion,Hyökkäyksellä on todennäköisyys käynnistää ketjureaktio.,Útok může vyvolat řetězovou reakci,Atacul poate declanşa o reacţie în lanţ,Napad lahko sproži verižno reakcijo.,Attacken kan utlösa kedjoreaktioner,A támadás valószínűleg láncreakciót vált ki.,Cuộc tấn công có khả năng gây ra phản ứng dây chuyền.
SKILL_FAST_LOW_DAMAGE_CHAIN_LIGHTNING_NAME,连锁闪电,Chain Lightning,連鎖閃電,连锁闪电,连锁雷电。,連鎖稲妻,연쇄 번개,Cadenas de relámpagos,Chaîne Lightning,สายฟ้าแลบ,سلسلة البرق,Молния,Cadeia de relâmpago,Kette Blitz,Catena di fulmini,Αλυσίδα αστραπής,Ketting bliksem,Łańcuch Lightning,Верига от мълнии,Kettlik välk,Kæde af lyn,Salamaketju,Řetěz blesku,Lanţul fulgerului,Verižna strela,Kedjan Blixt,Lánc villám,Chuỗi sét
SKILL_FAST_LOW_DAMAGE_PENETRATING_SHOT_DESC,子弹可以穿透多个敌人,Bullets can penetrate multiple enemies,子彈可以穿透多個敵人,啲骨头可以穿透多个敌人,子鼓可贯敌多穿。,弾は複数の敵を貫通できる,총알은 여러 적을 관통할 수 있다,Las balas pueden penetrar a varios enemigos,Les balles peuvent pénétrer plusieurs ennemis,กระสุนสามารถเจาะศัตรูได้หลายตัว,الرصاص يمكن أن تخترق العديد من الأعداء,Пуля может пробить несколько врагов.,As balas podem penetrar vários inimigos.,Kugeln können mehrere Feinde durchdringen.,I proiettili possono penetrare più nemici.,Οι σφαίρες μπορούν να διαπεράσουν πολλούς εχθρούς.,Kogels kunnen meerdere vijanden doordringen.,Kula może przeniknąć przez wielu wrogów.,Куршумите могат да проникнат в няколко врага.,Kuulid võivad tungida mitmes vaenlases.,Kugler kan trænge gennem flere fjender.,Luudit voivat tunkeutua useisiin vihollisiin.,Kulka může proniknout do několika nepřátel.,Glontele pot penetra mai mulţi duşmani.,Krogle lahko prodrejo v več sovražnikov.,Kulor kan tränga igenom flera fiender.,A golyó több ellenséget is áthatol.,Đạn có thể xuyên qua nhiều kẻ thù.
SKILL_FAST_LOW_DAMAGE_PENETRATING_SHOT_NAME,穿透射击,Piercing Shot ,穿透射擊,穿透射击,贯射之射；,貫通射撃,관통사격,Tiro penetrante,Tir par pénétration,เจาะยิง,اختراق النار,Проникающая стрельба,Tiro de penetração,Penetrationsschießen,Tiro di penetrazione,Πυροβολισμός διείσδυσης,Penetratie schieten,Strzelanie penetracyjne,Проникване стрелба,Tunnistus tulistamine,Penetration skyde,Tunkeutuminen ampuminen,Penetrační střelba,Penetrare împușcare,Prebodni strel,Penetrationsskjutning,Penetraciós lövés,Bắn xuyên thấu
SKILL_FAST_LOW_DAMAGE_RAPID_FIRE_DESC,每次攻击发射更多子弹,Launch more bullets with each attack,每次攻擊發射更多子彈,次次攻击发射多啲子弹,每发重鼓子弹。,攻撃のたびに弾を撃つ,타격마다 더 많은 탄환 발사,Cada ataque lanza más balas,Tirer plus de balles par attaque,ยิงกระสุนมากขึ้นต่อการโจมตี,إطلاق المزيد من الرصاص في كل هجوم,В каждой атаке стреляют больше патронов.,Atira mais balas a cada ataque.,Mehr Kugeln bei jedem Angriff,Spara più proiettili per ogni attacco.,Πυροβολήστε περισσότερες σφαίρες σε κάθε επίθεση.,Elke aanval brengt meer kogels af.,Za każdym atakiem wystrzelaj więcej kul.,Изстреляйте повече куршуми при всяка атака.,Laske iga rünnakuga rohkem kuule.,Afskyd flere kugler for hvert angreb.,Ammutaan enemmän luoteja joka isku.,Při každém útoku vypálit více nábojů.,Lansaţi mai multe gloanţe la fiecare atac.,Z vsakim napadom izstrelite več nabojev.,Skjut fler kulor för varje attack.,Minden támadásnál több golyót lőnek.,Bắn thêm đạn cho mỗi cuộc tấn công
SKILL_FAST_LOW_DAMAGE_RAPID_FIRE_NAME,连发射击,burst,連發射擊,连发射击,连弩射；,連発射撃,연발 사격,Tiro continuo,Coups de feu,ยิงต่อเนื่อง,اطلاق النار,Стрельба.,Tiro continuo,Schießen,Lancio continuo,Πυροβολισμός,Schieten,Rozstrzelanie,Продължителен изстрел,Laskamine,Afskydning,Yksittäinen ampuminen,Střílet,Lansare continuă,počil,Skjutning,További lövés,Bắn liên tục.
SKILL_FAST_LOW_DAMAGE_ULTRA_SPEED_DESC,极大幅度增加攻击速度,Greatly increase attack speed,極大幅度新增攻擊速度,极大幅度增加攻击速度,大精度益攻行疾。,攻撃速度を大幅に増加,공격 속도 대폭 증가,Aumenta enormemente la velocidad de ataque,Augmente considérablement la vitesse d'attaque,เพิ่มความเร็วในการโจมตีอย่างมาก,زيادة كبيرة في سرعة الهجوم,Значительно увеличить скорость атаки.,Aumento substancial da velocidade de ataque,erheblich erhöhte Angriffsgeschwindigkeit,Aumenta notevolmente la velocità di attacco,Αυξημένη ταχύτητα επίθεσης,Drastisch verhoogde aanvalsnelheid,Znacznie zwiększona prędkość ataku,Значително увеличаване на скоростта на атаката,Rünnaku kiiruse suurendamine,Stærkt øget angrebshastighed,Hyökkäämisen nopeus suurempi,Výrazně zvýšená rychlost útoku,Creştere semnificativă a vitezei de atac,Močno povečaj hitrost napada,Mycket ökad attack hastighet,Jelentősen növeli a támadás sebességét,Tăng đáng kể tốc độ tấn công
SKILL_FAST_LOW_DAMAGE_ULTRA_SPEED_NAME,极速射击,Rapid shooting,極速射擊,极速射击,颇速射之。,極速射撃,극속사격,Tiro de velocidad,Tir à vitesse extrême,ยิงเร็ว,مطلق النار,Стрельба на большой скорости,Tiro extremamente rápido,Schnellschießen,Sparatori estremamente veloci,Ταχύτητα πυροβολισμού,Extrem snel schieten,Szybkie strzelanie,Стрелба с изключителна скорост,Kiire tulistamine,Ekstrem hurtig skydning,Nopea ampuminen,Extrémně rychlá střelba,Împuşcare rapidă,Hitro streljanje,Extrem snabb skjutning,Gyors lövés,Bắn cực nhanh.
SKILL_FAST_MULTI_SHOT_DESC,同时发射多发子弹,Simultaneously firing multiple bullets,同時發射多發子彈,同时，发射多发子弹,同时发子弹,同時に多発弾を発射する,동시에 여러 발의 총알을 발사하다.,Lanzamiento simultáneo de múltiples balas,Tir simultané de plusieurs balles,ยิงหลายนัดพร้อมกัน,إطلاق رصاصات متعددة في وقت واحد,Несколько выстрелов одновременно.,Atire várias balas ao mesmo tempo.,Mehrere Kugeln gleichzeitig,Sparare più proiettili contemporaneamente,Πολλές σφαίρες ταυτόχρονα,Meerdere kogels tegelijkertijd afvuuren,Równoczesne wystrzelenie wielu kul,Изстреляне на няколко куршума едновременно,Lasta mitu kuuli samal ajal.,Afskyd flere kugler samtidigt,Ammu useita luoteja samanaikaisesti.,Vystřelit více kulek současně,Lansarea simultană a mai multor gloanţe,Sočasno streljanje več krogel,Skjut flera kulor samtidigt,Egyidejűleg több lövés,Bắn nhiều viên đạn cùng lúc
SKILL_FAST_MULTI_SHOT_NAME,多重射击,multi-shot,多重射擊,多重射击,颇射重射之，,たじゅうしゃげき,다중사격,Tiro múltiple,Tir multiple,หลายยิง,اطلاق النار متعددة,Множественные выстрелы,Múltiples tiros,Mehrfach Schießen,Sparatori multipli,Πολλαπλές πυροβολισμοί,Meerdere schieten,Wielokrotne strzelanie,Множествена стрелба,Mitmekülgne tulistamine,Flere skud,Useita ampumisia,Více střílení,împușcare multiplă,večkratni,Flera skott,Többszörös lövés,Bắn nhiều lần
SKILL_FAST_PENETRATION_DESC,子弹可以穿透多个敌人,Bullets can penetrate multiple enemies,子彈可以穿透多個敵人,啲骨头可以穿透多个敌人,子鼓可贯敌多穿。,弾は複数の敵を貫通できる,총알은 여러 적을 관통할 수 있다,Las balas pueden penetrar a varios enemigos,Les balles peuvent pénétrer plusieurs ennemis,กระสุนสามารถเจาะศัตรูได้หลายตัว,الرصاص يمكن أن تخترق العديد من الأعداء,Пуля может пробить несколько врагов.,As balas podem penetrar vários inimigos.,Kugeln können mehrere Feinde durchdringen.,I proiettili possono penetrare più nemici.,Οι σφαίρες μπορούν να διαπεράσουν πολλούς εχθρούς.,Kogels kunnen meerdere vijanden doordringen.,Kula może przeniknąć przez wielu wrogów.,Куршумите могат да проникнат в няколко врага.,Kuulid võivad tungida mitmes vaenlases.,Kugler kan trænge gennem flere fjender.,Luudit voivat tunkeutua useisiin vihollisiin.,Kulka může proniknout do několika nepřátel.,Glontele pot penetra mai mulţi duşmani.,Krogle lahko prodrejo v več sovražnikov.,Kulor kan tränga igenom flera fiender.,A golyó több ellenséget is áthatol.,Đạn có thể xuyên qua nhiều kẻ thù.
SKILL_FAST_PENETRATION_NAME,穿透射击,Piercing Shot ,穿透射擊,穿透射击,贯射之射；,貫通射撃,관통사격,Tiro penetrante,Tir par pénétration,เจาะยิง,اختراق النار,Проникающая стрельба,Tiro de penetração,Penetrationsschießen,Tiro di penetrazione,Πυροβολισμός διείσδυσης,Penetratie schieten,Strzelanie penetracyjne,Проникване стрелба,Tunnistus tulistamine,Penetration skyde,Tunkeutuminen ampuminen,Penetrační střelba,Penetrare împușcare,Prebodni strel,Penetrationsskjutning,Penetraciós lövés,Bắn xuyên thấu
SKILL_FAST_PRECISION_DESC,增加射程和精准度,Increase range and accuracy,新增射程和精准度,增加射程同精准度,增射精准度,射程と精度の向上,사정거리 및 정확도 증가,Aumentar el alcance y la precisión,Augmentation de la portée et de la précision,เพิ่มระยะและความแม่นยำ,زيادة مدى ودقة,Увеличение дальности и точности,Aumentar o alcance e a precisão,Erhöhte Reichweite und Genauigkeit,Aumentare la portata e la precisione,Αυξημένη εμβέλεια και ακρίβεια,Verhoogd bereik en nauwkeurigheid,Zwiększony zasięg i dokładność,Увеличаване на обхвата и точността,Suurendada ulatust ja täpsust,Øget rækkevidde og præcision,Suurennettu etäisyys ja tarkkuus,Zvýšení dosahu a přesnosti,Creșterea domeniului de acțiune și a preciziei,Povečanje obsega in natančnosti,Ökad räckvidd och noggrannhet,Növelje a hatótávolságot és a pontosságot,Tăng tầm bắn và độ chính xác
SKILL_FAST_PRECISION_NAME,精准射击,PRECISE SHOT,精准射擊,精准射击,精准射，,せいみつしゃげき,정밀사격,Tiro preciso,Tir de précision,ยิงแม่นยำ,دقة اطلاق النار,Точная стрельба,Tiro preciso,Genaues Schießen,Sparatori precisi,Ακριβής πυροβολισμός,Nauwkeurig schieten,Precyzyjne strzelanie,Прецизен стрелба,Täpne tulistamine,Præcis skydning,Tarkka ampuminen,Přesná střelba,Tragă cu precizie,PRECISE SHOT,Precis skjutning,Pontos lövés,Bắn chính xác
SKILL_FROST_FREEZE_DURATION_DESC,增加冰冻持续时间,Increase the duration of freezing,新增冰凍持續時間,增加雪藏持续时间,增冻弥久。,凍結持続時間の増加,냉동 지속 시간 증가,Aumentar la duración de la congelación,Augmenter la durée du gel,เพิ่มระยะเวลาแช่แข็ง,زيادة مدة التجميد,Увеличить продолжительность замерзания,Aumentar a duração do congelamento,Erhöhung der Gefrierdauer,Aumentare la durata del congelamento,Αυξημένη διάρκεια παγώσεως,Verhoogde duur van bevriezing,Zwiększenie czasu zamrożenia,Увеличаване на продължителността на замразяването,Külmutamise kestuse suurendamine,Forøget varighed af frysning,Lisää jäädytyksen kestoa,Zvýšení doby zmrazení,Creşterea duratei îngheţării,Podaljšanje trajanja zamrzovanja,Ökad frysningstid,Növelje a fagyasztás időtartamát,Tăng thời gian đóng băng
SKILL_FROST_FREEZE_DURATION_NAME,冰冻时长,Freezing duration,冰凍時長,雪藏时长,冻长冻,凍結時間,냉동 시간,Duración de la congelación,Temps de congélation long,ระยะเวลาแช่แข็ง,مدة التجميد,Длительность замерзания,Tempo de congelamento,Gefrierdauer,Durata del congelamento,Διάρκεια παγώσεως,Vrijstijd,Długość zamrożenia,Продължителност на замръзването,Külmutamise aeg,Længde på frysning,Jäätysaika,Doba zmrazení,Durata îngheţării,Trajanje zamrzovanja,Frystid,fagyasztási idő,Thời gian đóng băng
SKILL_FROST_FROST_ARMOR_DESC,为附近友军提供护盾,Provide shields for nearby friendly forces,為附近友軍提供護盾,为附近友军护盾讲吓嘢喇！,友军给护盾。,近くの友軍に盾を提供する,부근의 우군에게 보호막을 제공하다.,Proporcionar escudos a los amigos cercanos,Fournir des boucliers aux forces amies à proximité,มอบโล่ให้กับกองกำลังพันธมิตรที่อยู่ใกล้,توفير الدروع الصديقة القريبة,Защитные щиты для близлежащих войск.,Proteção para os amigos próximos,Schutz für nahe gelegene Freunde,Fornire scudo agli amici nelle vicinanze,Προσφορά ασπίδων για τις κοντινές φιλικές δυνάμεις,Bescherming voor nabijgelegen vrienden,Ochrona bliskich przyjaciół,Защита на близките приятели,Kaitsed lähedastele sõpradele,Beskyttelse af nærliggende venner,suojaa läheisiä ystäviä,Ochrana blízkých přátel,Oferă scut prietenilor din apropiere,Zagotovite ščite bližnjim prijateljskim silam.,Sköld för närliggande vänner,A közeli barátságok védelme,Cung cấp khiên bảo vệ cho các lực lượng gần đó.
SKILL_FROST_FROST_ARMOR_NAME,霜甲护盾,Frost armor shield,霜甲護盾,霜甲护盾,霜甲护盾。,霜甲シールド,서리 갑옷 보호막,Escudo de armadura de Escarcha,Bouclier d'armure de givre,เกราะ Frost,فروست درع,Фрост - щит,Escudo de Gelo,Frostschild,Scudo di ghiaccio,Ασπίδα πάγου,Frost schild,tarcza mrozowa,Мразен щит,Frost kilp,Frost skjold,Ice kilpi,Mrazový štít,Scutul de gheață,Zmrzni oklepni ščit,Frost skydd,Jégpárzs,Băng giáp khiên
SKILL_FROST_ICE_NOVA_DESC,释放冰霜新星冰冻周围敌人,Release Frost Nova and freeze surrounding enemies,釋放冰霜新星冰凍周圍敵人,释放冰霜新星雪藏周围敌人,释霜新星冻绕敌人。,氷の新星を放ち周囲の敵を凍らせる,빙상 신성 빙결 주위의 적을 방출,Liberar a la nueva estrella helada y congelar a los enemigos alrededor,Libérez les ennemis autour de Frost Nova Frozen,ปลดปล่อยศัตรูรอบๆ Frost Nova Frozen,الافراج عن صقيع نوفا تجميد الأعداء في جميع أنحاء,Освободите ледяную новую звезду и заморозите врага.,Liberar os inimigos ao redor do gelo Nova congelado,Befreien Sie Frozen Nova Gefrierte Feinde um,Rilasciare i nemici intorno al ghiaccio Nova,Απελευθερώστε τον παγωμένο εχθρό γύρω από το παγωμένο Nova,Vrij ijs Nova bevroren vijanden rond,Uwolnij zamrożonych wrogów wokół Frozen Nova,Освободи Frozen Нова замръзнали врагове около,Vabastage Ice Nova külmutatud vaenlased ümber,Frigivelse Frozen Nova frozen fjender omkring,Vapauta Ice Nova jäätynyt ympärillä vihollisia,Uvolněte Frozen Nova Frozen nepřátele kolem,Eliberați înghețat Nova înghețat în jurul inamicului,Spustite Frost Nova in zamrznite okoliške sovražnike,Släpp Frozen Nova Frozen fiender runt,Felszabadítsa az ellenséget a Frozen Nova,Phát hành Frosty Nova Frozen xung quanh kẻ thù
SKILL_FROST_ICE_NOVA_NAME,冰霜新星,nova,冰霜新星,冰霜新星,冰霜新星,アイスクリームの新星,빙상 신성,La nueva estrella de las heladas,Glace Nova,ฟรอสต์โนวา,متجمد نوفا,Новая ледяная звезда,Nova estrela de gelo,Eis-Nova,La stella del ghiaccio,Νέο αστέρι πάγου,De nieuwe ijsster,Nowa gwiazda lodu,Нова ледена звезда,Jäätäht,Isstjerner,Jäätön tähti,Ledová hvězda,Stela îngheţată,nova,Isstjärna,jég csillag,Ngôi sao băng giá
SKILL_FROST_SLOW_EFFECT_DESC,增加减速效果强度,Increase the intensity of deceleration effect,新增减速效果强度,增加减速效果强度,增缩亟定其夺度,減速効果の強度を高める,감속 효과 강도 증가,Aumentar la intensidad del efecto de desaceleración,Augmente l'intensité de l'effet de ralentissement,เพิ่มความแข็งแรงของผลกระทบจากการชะลอตัว,زيادة قوة تأثير التباطؤ,Увеличить интенсивность эффекта замедления,Aumentar a força do efeito de desaceleração,Erhöhung der Bremsungsintensität,Aumenta la forza dell'effetto di rallentamento,Αύξηση της ισχύος της επιβράδυνσης,Verhoogde vertragingskracht,Zwiększenie siły efektu spowolnienia,Увеличаване на силата на ефекта на забавяне,Suurendada aeglustuseffekti tugevust,Øge styrken af ​​bremsningseffekten,Lisää hidastusvaikutuksen voimakkuutta,Zvýšení síly zpomalení,Creșterea intensității efectului de încetinire,Povečanje intenzivnosti učinka pojemka,Öka effektiviteten,Növelje a lassítási hatás erősségét,Tăng cường độ hiệu ứng giảm tốc
SKILL_FROST_SLOW_EFFECT_NAME,减速强化,Deceleration reinforcement,减速强化,减速强化,减速强化,げんそくきょうか,감속 강화,Refuerzo de la desaceleración,Renforcement de la décélération,ลดความเข้มแข็ง,التباطؤ في تعزيز,Ускорение замедления,Fortalecimento da desaceleração,Verlangsamungsverstärkung,Rafforzamento del rallentamento,Ενίσχυση επιβράδυνσης,Verhoogde vertraging,Wzmocnienie spowolnienia,Усилване на забавянето,Kiirendamise tugevdamine,Forstærkelse af bremsning,Vahvistettu hidastus,Zvýšení zpomalení,Intensificarea încetinirii,ojačitev pojemka,Förstärkning av retardation,Lassítási erősítés,Giảm tốc độ tăng cường
